"","X","Characteristic","Electricity","Sourceofdrinkingwater","Timetowatersource","Sanitationfacility","Flooring","Personspersleepingroom"
"2085",2107,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2086",2108,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2087",2109,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","3-4"
"2088",2110,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"2089",2111,"Rural","Yes","Rain water","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"2090",2112,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2091",2113,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2092",2114,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2093",2115,"Rural","Yes","Piped into residence","Less than 15 minutes","No facility bush","Earth sand","5-6"
"2094",2116,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"2095",2117,"Rural","Yes","Rain water","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"2096",2118,"Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"2097",2119,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2098",2120,"Rural","No","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Rough wood/bamboo","3-4"
"2099",2121,"Rural","Yes","Rain water","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2100",2122,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"2101",2123,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2102",2124,"Rural","Yes","Spring","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2103",2125,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2104",2126,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2105",2127,"Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2106",2128,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2107",2129,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2108",2130,"Rural","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"2109",2131,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2110",2132,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2111",2133,"Rural","No","Spring","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"2112",2134,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2113",2135,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2114",2136,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2115",2137,"Rural","No","Pond.lake","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2116",2138,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2117",2139,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2118",2140,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"2119",2141,"Rural","No","Spring","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2120",2142,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","5-6"
"2121",2143,"Rural","Yes","Spring","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"2122",2144,"Rural","Yes","Public well","Less than 15 minutes","Vent. imp. pit toilet","Rough wood/bamboo","1-2"
"2123",2145,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","5-6"
"2124",2146,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2125",2147,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2126",2148,"Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2127",2149,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2128",2150,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2129",2151,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2130",2152,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2131",2153,"Rural","No","Public well","More than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2132",2154,"Rural","No","Well in residence","More than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"2133",2155,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2134",2156,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2135",2157,"Rural","Yes","Well in residence","More than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2136",2158,"Rural","Yes","Spring","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"2137",2159,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"2138",2160,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2139",2161,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2140",2162,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2141",2163,"Rural","Yes","Spring","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"2142",2164,"Rural","Yes","Pond.lake","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"2143",2165,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","5-6"
"2144",2166,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2145",2167,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2146",2168,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2147",2169,"Rural","No","Rain water","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2148",2170,"Rural","No","River.stream","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2149",2171,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2150",2172,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2151",2173,"Rural","No","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"2152",2174,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"2153",2175,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2154",2177,"Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2155",2178,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2156",2179,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2157",2180,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2158",2181,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"2159",2182,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2160",2183,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"2161",2184,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2162",2185,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2163",2186,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2164",2187,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2165",2188,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2166",2189,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2167",2190,"Rural","Yes","Well in residence","More than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2168",2191,"Rural","No","Rain water","More than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2169",2192,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2170",2193,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2171",2194,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2172",2195,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2173",2196,"Rural","No","Spring","Less than 15 minutes","Traditional pit toilet","Finished floor","7+"
"2174",2197,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"2175",2198,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2176",2199,"Rural","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2177",2201,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2178",2202,"Rural","No","Public well","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","5-6"
"2179",2203,"Rural","Yes","Public well","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2180",2204,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2181",2205,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2182",2206,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2183",2207,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2184",2208,"Rural","No","Public well","More than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2185",2209,"Rural","Yes","Rain water","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2186",2210,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2187",2211,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2188",2212,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2189",2213,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2190",2214,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2191",2215,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","5-6"
"2192",2218,"Rural","No","River.stream","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"2193",2220,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2194",2221,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"2195",2223,"Rural","Yes","River.stream","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"2196",2224,"Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Finished floor","7+"
"2197",2225,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2198",2226,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","3-4"
"2199",2227,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2200",2228,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2201",2229,"Rural","Yes","Spring","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2202",2230,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2203",2231,"Rural","No","Pond.lake","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2204",2232,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2205",2233,"Rural","Yes","Rain water","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2206",2234,"Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2207",2235,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"2208",2236,"Rural","No","Rain water","Less than 15 minutes","No facility bush","Earth sand","5-6"
"2209",2237,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2210",2238,"Rural","No","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2211",2239,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2212",2240,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","7+"
"2213",2241,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2214",2242,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2215",2244,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2216",2245,"Rural","No","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"2217",2246,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","5-6"
"2218",2247,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2219",2248,"Rural","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"2220",2249,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2221",2250,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2222",2251,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2223",2253,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2224",2254,"Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2225",2255,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2226",2256,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2227",2257,"Rural","No","Well in residence","More than 15 minutes","No facility bush","Finished floor","7+"
"2228",2258,"Rural","No","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2229",2259,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","5-6"
"2230",2260,"Rural","No","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2231",2261,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2232",2262,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2233",2263,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2234",2264,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2235",2265,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"2236",2266,"Rural","Yes","Well in residence","More than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2237",2268,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","7+"
"2238",2269,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2239",2270,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2240",2271,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2241",2272,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2242",2273,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"2243",2274,"Rural","No","River.stream","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2244",2275,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2245",2276,"Rural","Yes","Pond.lake","More than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2246",2277,"Rural","Yes","Public well","Less than 15 minutes","Own flush toilet","Earth sand","5-6"
"2247",2278,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2248",2279,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2249",2280,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","7+"
"2250",2281,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2251",2282,"Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2252",2283,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2253",2284,"Rural","No","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"2254",2285,"Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2255",2286,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2256",2287,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"2257",2288,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","7+"
"2258",2289,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","5-6"
"2259",2290,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2260",2291,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2261",2292,"Rural","No","Spring","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2262",2293,"Rural","No","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Rough wood/bamboo","1-2"
"2263",2294,"Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Earth sand","5-6"
"2264",2295,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2265",2296,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2266",2297,"Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2267",2298,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","3-4"
"2268",2299,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2269",2300,"Rural","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"2270",2301,"Rural","Yes","River.stream","Less than 15 minutes","Own flush toilet","Rough wood/bamboo","7+"
"2271",2302,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"2272",2303,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2273",2304,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"2274",2305,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2275",2306,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"2276",2307,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2277",2308,"Rural","No","Pond.lake","Less than 15 minutes","Own flush toilet","Earth sand","5-6"
"2278",2309,"Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","7+"
"2279",2310,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2280",2311,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"2281",2312,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2282",2313,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2283",2314,"Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2284",2315,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2285",2316,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","7+"
"2286",2317,"Rural","No","Spring","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2287",2318,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2288",2319,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2289",2320,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2290",2321,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2291",2322,"Rural","No","Spring","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"2292",2323,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2293",2324,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2294",2325,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2295",2326,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2296",2327,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2297",2328,"Rural","Yes","Public well","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"2298",2329,"Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2299",2330,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2300",2331,"Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2301",2332,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"2302",2333,"Rural","Yes","Rain water","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2303",2334,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2304",2335,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","5-6"
"2305",2336,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","5-6"
"2306",2337,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2307",2338,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2308",2339,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2309",2340,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2310",2341,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","5-6"
"2311",2342,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","7+"
"2312",2343,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2313",2344,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"2314",2345,"Rural","No","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2315",2346,"Rural","Yes","Public well","More than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"2316",2347,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2317",2348,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2318",2349,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2319",2350,"Rural","No","Public well","Less than 15 minutes","Own flush toilet","Earth sand","7+"
"2320",2351,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2321",2352,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2322",2353,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","7+"
"2323",2354,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2324",2355,"Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2325",2356,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2326",2357,"Rural","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","5-6"
"2327",2358,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2328",2359,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2329",2360,"Rural","No","Well in residence","More than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2330",2361,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","7+"
"2331",2362,"Rural","Yes","Public well","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"2332",2363,"Rural","No","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"2333",2364,"Rural","Yes","Rain water","Less than 15 minutes","Shared flush toilet","Earth sand","1-2"
"2334",2365,"Rural","Yes","Spring","More than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2335",2366,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"2336",2367,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","5-6"
"2337",2368,"Rural","Yes","Piped into residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2338",2369,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2339",2370,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Rough wood/bamboo","3-4"
"2340",2371,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2341",2372,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2342",2373,"Rural","Yes","Pond.lake","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2343",2374,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","7+"
"2344",2375,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2345",2376,"Rural","Yes","Spring","More than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2346",2377,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2347",2378,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2348",2379,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2349",2381,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2350",2382,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2351",2383,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","7+"
"2352",2384,"Rural","No","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"2353",2385,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
