"","Characteristic","Electricity","Sourceofdrinkingwater","Timetowatersource","Sanitationfacility","Flooring","Personspersleepingroom"
"995","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"996","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"997","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"998","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"999","Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"1000","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1001","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1002","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"1003","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1004","Urban","Yes","Public well","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1005","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1006","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1007","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1008","Urban","No","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1009","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1010","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1011","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1012","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"1013","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1014","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"1015","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1016","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1017","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1018","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"1019","Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"1020","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"1021","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1022","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1023","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1024","Urban","Yes","River.stream","Less than 15 minutes","No facility bush","Finished floor","1-2"
"1025","Urban","Yes","Rain water","More than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"1026","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1027","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1028","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1029","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1030","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1031","Urban","Yes","Spring","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1032","Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"1033","Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","3-4"
"1034","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","7+"
"1035","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1036","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1037","Urban","Yes","Public well","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1038","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1039","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1040","Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","3-4"
"1041","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1042","Urban","Yes","Public well","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1043","Urban","No","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"1044","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1045","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1046","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1047","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1048","Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"1049","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"1050","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1051","Urban","Yes","Public well","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1052","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"1053","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1054","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"1055","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1056","Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"1057","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"1058","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1059","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1060","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1061","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1062","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1063","Urban","Yes","Public well","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1064","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1065","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1066","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1067","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"1068","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1069","Urban","Yes","Well in residence","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"1070","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1071","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"1072","Urban","Yes","Piped into residence","More than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1073","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"1074","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1075","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1076","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1077","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"1078","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1079","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"1080","Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"1081","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"1082","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"1083","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1084","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1085","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1086","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"1087","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1088","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"1089","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"1090","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1091","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"1092","Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1093","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1094","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1095","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"1096","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1097","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1098","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1099","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1100","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1101","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1102","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1103","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"1104","Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"1105","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","Dont know/missing"
"1106","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1107","Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"1108","Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1109","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"1110","Urban","Yes","Spring","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"1111","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1112","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1113","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1114","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"1115","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"1116","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1117","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"1118","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1119","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1120","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"1121","Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1122","Urban","No","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1123","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"1124","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1125","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1126","Urban","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"1127","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"1128","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"1129","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"1130","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","7+"
"1131","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1132","Urban","Yes","Well in residence","More than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"1133","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"1134","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1135","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","5-6"
"1136","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1137","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","5-6"
"1138","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1139","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1140","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1141","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"1142","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1143","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1144","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1145","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1146","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"1147","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1148","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1149","Urban","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1150","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1151","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1152","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1153","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1154","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1155","Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"1156","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"1157","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1158","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"1159","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1160","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","Dont know/missing"
"1161","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1162","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1163","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"1164","Urban","Yes","Public well","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1165","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1166","Urban","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"1167","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1168","Urban","No","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","5-6"
"1169","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1170","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"1171","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"1172","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1173","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1174","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1175","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1176","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1177","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"1178","Urban","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"1179","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"1180","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1181","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"1182","Urban","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"1183","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"1184","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1185","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1186","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"1187","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1188","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"1189","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1190","Urban","Yes","River.stream","Less than 15 minutes","No facility bush","Finished floor","5-6"
"1191","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","7+"
"1192","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1193","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"1194","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1195","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"1196","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","5-6"
"1197","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"1198","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1199","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1200","Urban","Yes","Spring","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"1201","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"1202","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1203","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1204","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1205","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1206","Urban","Yes","Tanker truck","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1207","Urban","Yes","Public tap","More than 15 minutes","Own flush toilet","Finished floor","3-4"
"1208","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1209","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1210","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Rough wood/bamboo","3-4"
"1211","Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"1212","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"1213","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1214","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1215","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1216","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"1217","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1218","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1219","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1220","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"1221","Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1222","Urban","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"1223","Urban","No","Well in residence","Less than 15 minutes","No facility bush","Finished floor","7+"
"1224","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1225","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1226","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1227","Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"1228","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1229","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1230","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"1231","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1232","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Rough wood/bamboo","1-2"
"1233","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1234","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1235","Urban","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","3-4"
"1236","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"1237","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"1238","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1239","Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"1240","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1241","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"1242","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1243","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1244","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1245","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1246","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1247","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1248","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1249","Urban","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","1-2"
"1250","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1251","Urban","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1252","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"1253","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"1254","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1255","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1256","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"1257","Urban","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"1258","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1259","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1260","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1261","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1262","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1263","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1264","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1265","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1266","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1267","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","5-6"
"1268","Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"1269","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1270","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1271","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1272","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"1273","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"1274","Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1275","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1276","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"1277","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"1278","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"1279","Urban","Yes","Public well","Less than 15 minutes","No facility bush","Finished floor","1-2"
"1280","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"1281","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1282","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1283","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"1284","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
